 #   Polarised Flux in [erg/s/Hz/ster] pro g IM
 # wel(mu)  emis      emip_t    emip_c    emip_Si   emip_d
  1.70E+01  6.53E-18  1.62E-32  1.62E-32  0.00E+00  1.26E-38
  1.67E+01  6.03E-18  6.98E-33  6.98E-33  0.00E+00  4.21E-39
  1.65E+01  5.68E-18  3.92E-33  3.92E-33  0.00E+00  1.98E-39
  1.64E+01  5.50E-18  2.91E-33  2.91E-33  0.00E+00  1.35E-39
  1.63E+01  5.32E-18  2.16E-33  2.16E-33  0.00E+00  9.13E-40
  1.61E+01  4.96E-18  1.17E-33  1.17E-33  0.00E+00  4.14E-40
  1.60E+01  4.79E-18  8.55E-34  8.55E-34  0.00E+00  2.77E-40
  1.59E+01  4.62E-18  6.24E-34  6.24E-34  0.00E+00  1.84E-40
  1.58E+01  4.47E-18  4.53E-34  4.53E-34  0.00E+00  1.22E-40
  1.57E+01  4.31E-18  3.26E-34  3.26E-34  0.00E+00  0.00E+00
  1.56E+01  4.16E-18  2.35E-34  2.35E-34  0.00E+00  0.00E+00
  1.54E+01  3.89E-18  1.21E-34  1.21E-34  0.00E+00  0.00E+00
  1.52E+01  3.65E-18  6.03E-35  6.03E-35  0.00E+00  0.00E+00
  1.51E+01  3.53E-18  4.23E-35  4.23E-35  0.00E+00  0.00E+00
  1.50E+01  3.42E-18  2.95E-35  2.95E-35  0.00E+00  0.00E+00
  1.45E+01  3.01E-18  4.58E-36  4.58E-36  0.00E+00  0.00E+00
  1.44E+01  2.96E-18  3.11E-36  3.11E-36  0.00E+00  0.00E+00
  1.43E+01  2.93E-18  2.10E-36  2.10E-36  0.00E+00  0.00E+00
  1.42E+01  2.89E-18  1.41E-36  1.41E-36  0.00E+00  0.00E+00
  1.40E+01  2.85E-18  6.25E-37  6.25E-37  0.00E+00  0.00E+00
  1.38E+01  2.94E-18  2.70E-37  2.70E-37  0.00E+00  0.00E+00
  1.37E+01  3.06E-18  1.76E-37  1.76E-37  0.00E+00  0.00E+00
  1.36E+01  3.19E-18  1.14E-37  1.14E-37  0.00E+00  0.00E+00
  1.35E+01  3.26E-18  7.34E-38  7.34E-38  0.00E+00  0.00E+00
  1.34E+01  3.35E-18  4.69E-38  4.69E-38  0.00E+00  0.00E+00
  1.33E+01  3.53E-18  2.97E-38  2.97E-38  0.00E+00  0.00E+00
  1.32E+01  3.81E-18  1.87E-38  1.87E-38  0.00E+00  0.00E+00
  1.31E+01  4.25E-18  1.17E-38  1.17E-38  0.00E+00  0.00E+00
  1.29E+01  6.19E-18  4.43E-39  4.43E-39  0.00E+00  0.00E+00
  1.28E+01  7.93E-18  2.70E-39  2.70E-39  0.00E+00  0.00E+00
  1.27E+01  9.08E-18  1.64E-39  1.64E-39  0.00E+00  0.00E+00
  1.26E+01  8.22E-18  9.84E-40  9.84E-40  0.00E+00  0.00E+00
  1.25E+01  6.79E-18  5.86E-40  5.86E-40  0.00E+00  0.00E+00
  1.22E+01  6.00E-18  1.19E-40  1.19E-40  0.00E+00  0.00E+00
  1.21E+01  6.52E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.20E+01  6.95E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.19E+01  7.00E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.18E+01  7.02E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.17E+01  7.51E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.16E+01  8.82E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.15E+01  1.16E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.14E+01  1.57E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.13E+01  1.85E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.12E+01  1.55E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.11E+01  1.11E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.09E+01  6.71E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.05E+01  4.92E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.00E+01  4.52E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.80E+00  4.47E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.60E+00  4.43E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.50E+00  4.38E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.40E+00  4.29E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.20E+00  3.91E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.90E+00  3.25E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.70E+00  3.51E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.60E+00  4.01E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.50E+00  3.24E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.40E+00  2.64E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.20E+00  2.28E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.00E+00  2.39E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.90E+00  2.64E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.80E+00  2.89E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.70E+00  2.95E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.60E+00  2.70E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.50E+00  2.25E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.30E+00  1.48E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.20E+00  1.27E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.10E+00  1.23E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.00E+00  1.57E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.90E+00  1.04E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.80E+00  8.64E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.60E+00  8.17E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.40E+00  1.06E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.30E+00  1.48E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.20E+00  1.89E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.10E+00  1.42E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.90E+00  7.52E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.50E+00  6.20E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.30E+00  8.19E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.20E+00  1.15E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.10E+00  1.47E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.00E+00  1.09E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.80E+00  5.87E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.50E+00  4.58E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.00E+00  4.17E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.80E+00  4.14E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.60E+00  4.29E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.40E+00  6.49E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.30E+00  1.39E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.20E+00  5.85E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.15E+00  4.61E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.10E+00  4.07E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.08E+00  3.93E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.05E+00  3.77E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.00E+00  3.59E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.90E+00  3.35E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.80E+00  3.18E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.60E+00  2.88E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.50E+00  2.72E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.20E+00  2.22E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.16E+00  2.15E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.00E+00  1.85E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.66E+00  1.20E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.65E+00  1.18E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.25E+00  4.81E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.23E+00  4.59E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.13E+00  3.18E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.00E+00  1.78E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.50E-01  1.35E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.30E-01  1.20E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.20E-01  1.13E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.10E-01  1.06E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.00E-01  9.96E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.90E-01  9.32E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.80E-01  8.70E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.70E-01  8.11E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.60E-01  7.55E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.50E-01  7.01E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.40E-01  6.50E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.33E-01  6.16E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.20E-01  5.55E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.10E-01  5.11E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.00E-01  4.70E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.90E-01  4.30E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.80E-01  3.93E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.70E-01  3.59E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.60E-01  3.26E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.50E-01  2.95E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.40E-01  2.67E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.30E-01  2.40E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.14E-01  2.02E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.10E-01  1.93E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.00E-01  1.72E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.90E-01  1.53E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.80E-01  1.35E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.70E-01  1.19E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.60E-01  1.04E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.50E-01  9.11E-22  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.40E-01  7.92E-22  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.30E-01  6.84E-22  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.25E-01  6.35E-22  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.20E-01  5.88E-22  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.10E-01  5.03E-22  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.00E-01  4.28E-22  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.90E-01  3.61E-22  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.80E-01  3.03E-22  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.70E-01  2.53E-22  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.60E-01  2.09E-22  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.50E-01  1.72E-22  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.48E-01  2.45E-22  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.40E-01  2.10E-22  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.30E-01  1.71E-22  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.20E-01  1.38E-22  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.10E-01  1.10E-22  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.00E-01  8.70E-23  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.90E-01  6.81E-23  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.88E-01  6.48E-23  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.80E-01  5.28E-23  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.76E-01  4.75E-23  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.70E-01  4.05E-23  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.65E-01  3.53E-23  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.60E-01  3.06E-23  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.55E-01  2.65E-23  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.50E-01  2.29E-23  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.44E-01  1.91E-23  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.35E-01  1.44E-23  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.17E-01  7.93E-24  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.00E-01  4.29E-24  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.85E-01  2.38E-24  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.66E-01  1.04E-24  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.57E-01  7.02E-25  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.33E-01  2.12E-25  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.13E-01  6.90E-26  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.00E-01  3.12E-26  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.94E-01  2.13E-26  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.78E-01  7.21E-27  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.63E-01  2.42E-27  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.50E-01  8.70E-28  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.38E-01  2.89E-28  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.27E-01  7.40E-29  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.17E-01  1.32E-29  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.08E-01  2.00E-30  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.00E-01  3.17E-31  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.92E-01  4.50E-32  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.85E-01  7.47E-33  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.79E-01  1.50E-33  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.72E-01  2.09E-34  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.67E-01  4.79E-35  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.61E-01  7.53E-36  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.56E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.52E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.47E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.43E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.39E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.35E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.32E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.28E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.25E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.22E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.19E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.16E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.14E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.11E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.08E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.05E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.03E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.00E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.75E-02  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.50E-02  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.25E-02  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.08E-02  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
