 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_DD    ss_DD   sigt 
 # ------------------------------------------------------------------------------------------------------------- 
7.200E-04 5.68E-02 1.46E-04 6.19E-03 2.15E-05 4.06E-04 6.53E-11 5.33E-03 8.09E-11 1.10E-04 8.52E-03 1.06E-03 7.855E-02
7.100E-04 5.68E-02 1.53E-04 6.02E-03 2.32E-05 4.15E-04 6.91E-11 5.17E-03 9.31E-11 1.07E-04 8.52E-03 1.15E-03 7.840E-02
7.000E-04 5.74E-02 1.60E-04 5.86E-03 2.50E-05 4.24E-04 7.31E-11 5.11E-03 1.05E-10 1.48E-04 8.61E-03 1.23E-03 7.898E-02
6.900E-04 5.76E-02 1.66E-04 5.63E-03 2.69E-05 4.34E-04 7.74E-11 5.09E-03 1.19E-10 8.81E-05 8.63E-03 1.31E-03 7.897E-02
6.800E-04 5.67E-02 1.73E-04 5.34E-03 2.90E-05 4.45E-04 8.20E-11 5.09E-03 1.32E-10 6.91E-05 8.55E-03 1.41E-03 7.782E-02
6.600E-04 5.70E-02 1.94E-04 4.81E-03 3.37E-05 4.67E-04 9.24E-11 5.09E-03 1.62E-10 6.64E-05 8.69E-03 1.64E-03 7.802E-02
6.400E-04 5.86E-02 2.20E-04 4.17E-03 3.92E-05 4.90E-04 1.04E-10 5.07E-03 1.97E-10 9.96E-05 8.96E-03 1.88E-03 7.958E-02
6.300E-04 5.98E-02 2.32E-04 3.89E-03 4.26E-05 4.96E-04 1.11E-10 5.05E-03 2.16E-10 1.54E-04 9.12E-03 2.00E-03 8.082E-02
6.200E-04 6.01E-02 2.43E-04 3.82E-03 4.63E-05 5.17E-04 1.18E-10 5.03E-03 2.37E-10 2.09E-04 9.17E-03 2.13E-03 8.126E-02
6.100E-04 6.06E-02 2.57E-04 3.80E-03 4.99E-05 5.31E-04 1.26E-10 5.00E-03 2.59E-10 1.52E-04 9.27E-03 2.27E-03 8.198E-02
5.900E-04 6.30E-02 2.88E-04 3.13E-03 5.81E-05 5.60E-04 1.44E-10 4.93E-03 3.10E-10 7.02E-05 9.61E-03 2.57E-03 8.422E-02
5.500E-04 6.06E-02 3.46E-04 2.32E-03 8.18E-05 6.28E-04 1.90E-10 4.85E-03 4.45E-10 5.99E-05 9.42E-03 3.26E-03 8.161E-02
5.300E-04 6.12E-02 3.98E-04 2.07E-03 9.73E-05 6.67E-04 2.20E-10 4.87E-03 5.33E-10 9.32E-05 9.63E-03 3.76E-03 8.273E-02
5.200E-04 6.12E-02 4.26E-04 1.94E-03 1.06E-04 6.88E-04 2.38E-10 4.88E-03 5.84E-10 1.45E-04 9.70E-03 4.03E-03 8.315E-02
5.100E-04 6.18E-02 4.59E-04 1.82E-03 1.16E-04 7.10E-04 2.57E-10 4.90E-03 6.40E-10 2.00E-04 9.85E-03 4.32E-03 8.416E-02
5.000E-04 6.24E-02 4.93E-04 1.68E-03 1.29E-04 7.33E-04 2.78E-10 4.93E-03 7.03E-10 1.45E-04 1.00E-02 4.62E-03 8.518E-02
4.800E-04 6.32E-02 5.69E-04 1.49E-03 1.55E-04 7.81E-04 3.26E-10 5.01E-03 8.49E-10 7.07E-05 1.03E-02 5.30E-03 8.686E-02
4.500E-04 6.53E-02 7.11E-04 1.25E-03 2.06E-04 8.66E-04 4.21E-10 5.19E-03 1.13E-09 5.61E-05 1.08E-02 6.47E-03 9.082E-02
4.000E-04 6.76E-02 1.09E-03 9.25E-04 3.43E-04 1.04E-03 6.70E-10 5.58E-03 1.90E-09 6.36E-05 1.18E-02 9.28E-03 9.772E-02
3.800E-04 6.90E-02 1.31E-03 8.15E-04 4.26E-04 1.13E-03 8.20E-10 5.76E-03 2.36E-09 7.12E-05 1.23E-02 1.08E-02 1.016E-01
3.600E-04 7.05E-02 1.60E-03 7.16E-04 5.36E-04 1.23E-03 1.01E-09 5.95E-03 2.96E-09 8.58E-05 1.28E-02 1.26E-02 1.060E-01
3.400E-04 7.39E-02 1.96E-03 6.30E-04 6.80E-04 1.35E-03 1.27E-09 6.16E-03 3.77E-09 1.67E-04 1.35E-02 1.45E-02 1.129E-01
3.300E-04 7.37E-02 2.16E-03 5.89E-04 7.70E-04 1.41E-03 1.43E-09 6.27E-03 4.26E-09 4.21E-04 1.37E-02 1.56E-02 1.146E-01
3.200E-04 7.39E-02 2.43E-03 5.48E-04 8.75E-04 1.48E-03 1.61E-09 6.37E-03 4.85E-09 1.73E-04 1.39E-02 1.70E-02 1.167E-01
3.150E-04 7.46E-02 2.58E-03 5.31E-04 9.34E-04 1.52E-03 1.72E-09 6.42E-03 5.17E-09 1.36E-04 1.41E-02 1.77E-02 1.185E-01
3.100E-04 7.53E-02 2.74E-03 5.13E-04 9.98E-04 1.56E-03 1.83E-09 6.48E-03 5.53E-09 1.21E-04 1.43E-02 1.83E-02 1.203E-01
3.080E-04 7.55E-02 2.80E-03 5.06E-04 1.03E-03 1.57E-03 1.87E-09 6.50E-03 5.67E-09 1.19E-04 1.43E-02 1.86E-02 1.210E-01
3.050E-04 7.58E-02 2.90E-03 4.95E-04 1.07E-03 1.60E-03 1.95E-09 6.54E-03 5.91E-09 1.16E-04 1.44E-02 1.90E-02 1.220E-01
3.000E-04 7.62E-02 3.09E-03 4.79E-04 1.14E-03 1.64E-03 2.08E-09 6.61E-03 6.33E-09 1.14E-04 1.46E-02 1.98E-02 1.237E-01
2.900E-04 7.77E-02 3.49E-03 4.46E-04 1.31E-03 1.73E-03 2.38E-09 6.75E-03 7.27E-09 1.17E-04 1.50E-02 2.13E-02 1.279E-01
2.800E-04 7.82E-02 3.96E-03 4.16E-04 1.52E-03 1.83E-03 2.73E-09 6.90E-03 8.40E-09 1.23E-04 1.52E-02 2.31E-02 1.312E-01
2.600E-04 8.03E-02 5.23E-03 3.60E-04 2.05E-03 2.05E-03 3.65E-09 7.24E-03 1.14E-08 1.41E-04 1.59E-02 2.70E-02 1.402E-01
2.500E-04 8.19E-02 6.08E-03 3.34E-04 2.40E-03 2.18E-03 4.25E-09 7.43E-03 1.33E-08 1.52E-04 1.64E-02 2.91E-02 1.460E-01
2.200E-04 8.92E-02 9.85E-03 2.68E-04 4.02E-03 2.65E-03 7.02E-09 8.14E-03 2.24E-08 2.01E-04 1.80E-02 3.64E-02 1.688E-01
