 #   Flux in [erg/s/Hz/ster] pro g IM
 # wel(mu)  emis_tot  emis_c    emis_Si   emis_pol  emi_DD    emi_vgr   emi_vsi   epah_s+b  ISRF j_v
  6.00E+01  5.04E-17  1.06E-17  2.38E-19  9.03E-19  2.32E-20  4.84E-18  3.47E-17  3.20E-20  5.31E-17
  5.00E+01  4.04E-17  1.56E-18  2.43E-20  1.16E-19  1.31E-21  6.11E-18  3.27E-17  3.65E-20  3.57E-17
  4.50E+01  3.78E-17  4.02E-19  4.97E-21  2.73E-20  1.83E-22  7.02E-18  3.03E-17  3.89E-20  2.89E-17
  4.00E+01  3.51E-17  6.57E-20  6.44E-22  3.92E-21  1.46E-23  8.03E-18  2.69E-17  4.16E-20  2.31E-17
  3.50E+01  3.06E-17  5.94E-21  4.17E-23  3.02E-22  5.38E-25  8.28E-18  2.23E-17  4.52E-20  1.82E-17
  3.00E+01  2.35E-17  2.19E-22  9.55E-25  8.78E-24  6.09E-27  6.10E-18  1.74E-17  5.20E-20  1.45E-17
  2.75E+01  1.93E-17  2.51E-23  8.09E-26  8.63E-25  3.37E-28  4.27E-18  1.50E-17  6.00E-20  1.29E-17
  2.50E+01  1.56E-17  1.77E-24  4.03E-27  5.07E-26  1.01E-29  2.67E-18  1.29E-17  8.39E-20  1.14E-17
  2.40E+01  1.43E-17  5.25E-25  1.00E-27  1.38E-26  2.01E-30  2.17E-18  1.21E-17  1.09E-19  1.08E-17
  2.35E+01  1.38E-17  2.75E-25  4.79E-28  6.92E-27  8.49E-31  1.95E-18  1.17E-17  1.25E-19  1.05E-17
  2.32E+01  1.34E-17  1.83E-25  3.03E-28  4.49E-27  4.97E-31  1.83E-18  1.14E-17  1.32E-19  1.03E-17
  2.31E+01  1.33E-17  1.60E-25  2.59E-28  3.88E-27  4.14E-31  1.79E-18  1.14E-17  1.33E-19  1.03E-17
  2.30E+01  1.32E-17  1.39E-25  2.21E-28  3.35E-27  3.45E-31  1.75E-18  1.13E-17  1.34E-19  1.02E-17
  2.25E+01  1.27E-17  6.83E-26  9.88E-29  1.56E-27  1.34E-31  1.57E-18  1.10E-17  1.36E-19  9.93E-18
