 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt
 # --------------------------------------------------------------------------------------------------------------
 1.160E-05 2.37E-01 1.70E-01 8.98E-01 7.86E-01 2.70E-01 1.67E-03 2.41E+00 7.58E-03 3.92E-02 6.42E-02 7.87E-02 4.960E+00
 1.140E-05 2.36E-01 1.70E-01 8.98E-01 7.86E-01 2.98E-01 1.97E-03 2.54E+00 8.24E-03 4.33E-02 6.40E-02 7.87E-02 5.127E+00
 1.110E-05 2.34E-01 1.70E-01 8.97E-01 7.88E-01 3.41E-01 2.57E-03 2.77E+00 9.40E-03 5.11E-02 6.34E-02 7.85E-02 5.404E+00
 1.080E-05 2.33E-01 1.69E-01 8.96E-01 7.89E-01 4.60E-01 3.42E-03 3.04E+00 1.08E-02 6.17E-02 6.28E-02 7.84E-02 5.803E+00
 1.050E-05 2.31E-01 1.69E-01 8.94E-01 7.91E-01 6.13E-01 4.44E-03 3.37E+00 1.27E-02 7.61E-02 6.24E-02 7.86E-02 6.306E+00
 1.030E-05 2.29E-01 1.68E-01 8.93E-01 7.92E-01 7.32E-01 5.09E-03 3.69E+00 1.41E-02 8.85E-02 6.18E-02 7.84E-02 6.751E+00
 1.000E-05 2.27E-01 1.68E-01 8.91E-01 7.95E-01 8.97E-01 6.21E-03 4.14E+00 1.62E-02 1.12E-01 6.15E-02 7.84E-02 7.390E+00
 9.750E-06 2.26E-01 1.67E-01 8.88E-01 7.96E-01 1.09E+00 7.71E-03 4.50E+00 1.80E-02 1.35E-01 6.10E-02 7.81E-02 7.967E+00
 9.500E-06 2.24E-01 1.66E-01 8.86E-01 7.99E-01 1.31E+00 9.12E-03 4.89E+00 2.01E-02 1.59E-01 6.07E-02 7.81E-02 8.598E+00
 9.250E-06 2.21E-01 1.66E-01 8.82E-01 8.00E-01 1.48E+00 1.02E-02 5.28E+00 2.21E-02 1.77E-01 6.03E-02 7.77E-02 9.176E+00
 9.080E-06 2.20E-01 1.65E-01 8.79E-01 8.02E-01 1.58E+00 1.09E-02 5.50E+00 2.31E-02 1.81E-01 6.02E-02 7.75E-02 9.506E+00
