 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
2.940E-05 2.32E-01 1.62E-01 1.37E-02 1.47E+00 1.98E-01 8.03E-05 4.14E-02 8.38E-05 3.23E-02 8.61E-02 8.81E-02 2.327E+00
2.780E-05 2.35E-01 1.61E-01 1.69E-02 1.53E+00 2.32E-01 1.10E-04 4.32E-02 1.07E-04 4.89E-02 8.50E-02 8.71E-02 2.444E+00
2.630E-05 2.37E-01 1.60E-01 2.02E-02 1.58E+00 2.83E-01 1.57E-04 4.49E-02 1.37E-04 7.95E-02 8.39E-02 8.62E-02 2.575E+00
2.500E-05 2.37E-01 1.59E-01 2.41E-02 1.61E+00 3.54E-01 2.28E-04 4.64E-02 1.72E-04 1.32E-01 8.28E-02 8.54E-02 2.728E+00
2.380E-05 2.39E-01 1.59E-01 2.92E-02 1.62E+00 4.87E-01 3.49E-04 4.65E-02 2.16E-04 2.14E-01 8.18E-02 8.48E-02 2.958E+00
2.270E-05 2.39E-01 1.58E-01 3.62E-02 1.62E+00 7.04E-01 5.10E-04 4.83E-02 2.71E-04 2.66E-01 8.08E-02 8.42E-02 3.234E+00
2.170E-05 2.39E-01 1.58E-01 4.55E-02 1.61E+00 9.52E-01 6.63E-04 5.44E-02 3.39E-04 2.19E-01 7.98E-02 8.38E-02 3.442E+00
2.080E-05 2.39E-01 1.58E-01 6.28E-02 1.61E+00 9.86E-01 6.15E-04 6.79E-02 4.21E-04 1.47E-01 7.89E-02 8.34E-02 3.429E+00
2.000E-05 2.38E-01 1.57E-01 2.24E-01 1.47E+00 8.55E-01 4.81E-04 8.64E-02 5.16E-04 9.89E-02 7.79E-02 8.31E-02 3.291E+00
1.920E-05 2.37E-01 1.58E-01 4.26E-01 1.29E+00 6.64E-01 3.31E-04 1.19E-01 6.41E-04 6.82E-02 7.70E-02 8.29E-02 3.127E+00
1.850E-05 2.38E-01 1.60E-01 5.47E-01 1.19E+00 5.20E-01 2.34E-04 1.59E-01 7.85E-04 5.10E-02 7.60E-02 8.28E-02 3.025E+00
1.790E-05 2.38E-01 1.61E-01 6.86E-01 1.05E+00 4.23E-01 1.79E-04 2.03E-01 9.41E-04 4.09E-02 7.54E-02 8.30E-02 2.960E+00
1.720E-05 2.39E-01 1.63E-01 7.80E-01 9.48E-01 3.39E-01 1.42E-04 2.82E-01 1.18E-03 3.28E-02 7.43E-02 8.28E-02 2.942E+00
1.670E-05 2.39E-01 1.64E-01 8.20E-01 9.05E-01 2.91E-01 1.29E-04 3.55E-01 1.39E-03 2.87E-02 7.34E-02 8.27E-02 2.961E+00
1.610E-05 2.40E-01 1.65E-01 8.54E-01 8.69E-01 2.45E-01 1.32E-04 4.84E-01 1.72E-03 2.51E-02 7.26E-02 8.30E-02 3.040E+00
1.560E-05 2.41E-01 1.66E-01 8.73E-01 8.47E-01 2.15E-01 1.48E-04 6.32E-01 2.06E-03 2.31E-02 7.17E-02 8.30E-02 3.154E+00
