 #   Flux in [erg/s/Hz/ster] pro g IM
 # wel(mu)  emis_tot  emis_c    emis_Si   emis_pol  emi_Dark  emi_vgr   emi_vsi   epah_s+b  ISRF j_v
  6.00E+01  7.39E-13  3.50E-14  1.69E-15  1.78E-15  9.02E-16  2.15E-13  4.86E-13  1.45E-16  5.31E-17
  5.00E+01  7.20E-13  4.79E-15  1.57E-16  2.12E-16  4.43E-17  2.66E-13  4.49E-13  1.66E-16  3.57E-17
  4.50E+01  7.11E-13  1.18E-15  3.06E-17  4.77E-17  5.65E-18  2.99E-13  4.10E-13  1.77E-16  2.89E-17
  4.00E+01  6.89E-13  1.83E-16  3.79E-18  6.55E-18  4.05E-19  3.34E-13  3.56E-13  1.89E-16  2.31E-17
  3.50E+01  6.15E-13  1.54E-17  2.34E-19  4.77E-19  1.30E-20  3.31E-13  2.84E-13  2.05E-16  1.82E-17
  3.00E+01  4.38E-13  5.21E-19  5.10E-21  1.29E-20  1.25E-22  2.30E-13  2.07E-13  2.35E-16  1.45E-17
  2.75E+01  3.27E-13  5.69E-20  4.22E-22  1.21E-21  6.22E-24  1.55E-13  1.72E-13  2.72E-16  1.29E-17
  2.50E+01  2.32E-13  3.81E-21  2.05E-23  6.75E-23  1.65E-25  9.26E-14  1.39E-13  3.83E-16  1.14E-17
  2.40E+01  2.01E-13  1.10E-21  5.05E-24  1.80E-23  3.11E-26  7.36E-14  1.27E-13  5.01E-16  1.08E-17
  2.35E+01  1.87E-13  5.70E-22  2.40E-24  8.87E-24  1.28E-26  6.54E-14  1.21E-13  5.73E-16  1.05E-17
  2.32E+01  1.79E-13  3.78E-22  1.51E-24  5.71E-24  7.35E-27  6.08E-14  1.18E-13  6.05E-16  1.03E-17
  2.31E+01  1.77E-13  3.29E-22  1.29E-24  4.92E-24  6.09E-27  5.94E-14  1.17E-13  6.13E-16  1.03E-17
  2.30E+01  1.74E-13  2.85E-22  1.10E-24  4.23E-24  5.04E-27  5.80E-14  1.15E-13  6.18E-16  1.02E-17
  2.25E+01  1.62E-13  1.38E-22  4.90E-25  1.94E-24  1.91E-27  5.14E-14  1.10E-13  6.26E-16  9.93E-18
  2.20E+01  1.52E-13  6.45E-23  2.10E-25  8.60E-25  6.89E-28  4.55E-14  1.06E-13  6.40E-16  9.65E-18
  2.15E+01  1.42E-13  2.92E-23  8.62E-26  3.68E-25  2.37E-28  4.02E-14  1.01E-13  6.81E-16  9.37E-18
  2.12E+01  1.36E-13  1.78E-23  4.94E-26  2.16E-25  1.22E-28  3.74E-14  9.80E-14  6.98E-16  9.21E-18
  2.11E+01  1.34E-13  1.50E-23  4.09E-26  1.80E-25  9.70E-29  3.65E-14  9.72E-14  6.99E-16  9.16E-18
  2.10E+01  1.33E-13  1.27E-23  3.38E-26  1.50E-25  7.72E-29  3.56E-14  9.63E-14  6.98E-16  9.10E-18
