 #   Flux in [erg/s/Hz/ster] pro g IM
 # wel(mu)  emis_tot  emis_c    emis_Si   emis_pol  emi_Dark  emi_vgr   emi_vsi   epah_s+b  ISRF j_v
  8.33E-01  2.89E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.93E-19  8.92E-19  2.75E-17  2.76E-18
  8.20E-01  2.61E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.24E-19  7.72E-19  2.49E-17  2.73E-18
  8.10E-01  2.40E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.76E-19  6.88E-19  2.29E-17  2.71E-18
  8.00E-01  2.21E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.32E-19  6.11E-19  2.11E-17  2.68E-18
  7.90E-01  2.02E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.93E-19  5.41E-19  1.94E-17  2.66E-18
  7.80E-01  1.85E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.57E-19  4.77E-19  1.77E-17  2.63E-18
  7.70E-01  1.68E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.25E-19  4.20E-19  1.62E-17  2.61E-18
  7.60E-01  1.53E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.96E-19  3.68E-19  1.47E-17  2.58E-18
  7.50E-01  1.39E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.70E-19  3.21E-19  1.34E-17  2.56E-18
  7.40E-01  1.25E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.47E-19  2.79E-19  1.21E-17  2.53E-18
  7.30E-01  1.13E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.27E-19  2.41E-19  1.09E-17  2.50E-18
  7.14E-01  9.47E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  9.85E-20  1.90E-19  9.18E-18  2.46E-18
  7.10E-01  9.05E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  9.23E-20  1.78E-19  8.78E-18  2.45E-18
  7.00E-01  8.07E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.83E-20  1.52E-19  7.84E-18  2.42E-18
  6.90E-01  7.16E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.60E-20  1.29E-19  6.97E-18  2.40E-18
  6.80E-01  6.34E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.54E-20  1.09E-19  6.17E-18  2.37E-18
  6.70E-01  5.58E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.62E-20  9.20E-20  5.44E-18  2.34E-18
  6.60E-01  4.89E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.83E-20  7.69E-20  4.78E-18  2.32E-18
  6.50E-01  4.27E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.15E-20  6.39E-20  4.17E-18  2.29E-18
  6.40E-01  3.71E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.58E-20  5.28E-20  3.63E-18  2.26E-18
  6.30E-01  3.20E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.10E-20  4.33E-20  3.14E-18  2.23E-18
  6.25E-01  2.97E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.89E-20  3.92E-20  2.91E-18  2.22E-18
  6.20E-01  2.75E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.69E-20  3.53E-20  2.70E-18  2.20E-18
  6.10E-01  2.35E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.36E-20  2.86E-20  2.31E-18  2.18E-18
  6.00E-01  2.00E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.08E-20  2.30E-20  1.97E-18  2.12E-18
  5.90E-01  1.69E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.49E-21  1.83E-20  1.66E-18  2.05E-18
  5.80E-01  1.42E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.62E-21  1.45E-20  1.40E-18  1.98E-18
  5.70E-01  1.18E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.12E-21  1.13E-20  1.17E-18  1.91E-18
  5.60E-01  9.79E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.92E-21  8.79E-21  9.66E-19  1.85E-18
  5.50E-01  8.04E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.96E-21  6.76E-21  7.94E-19  1.79E-18
  5.48E-01  1.13E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.78E-21  6.35E-21  1.12E-18  1.77E-18
  5.40E-01  9.66E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.23E-21  5.14E-21  9.58E-19  1.73E-18
  5.30E-01  7.85E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.65E-21  3.87E-21  7.79E-19  1.67E-18
  5.20E-01  6.32E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.21E-21  2.88E-21  6.28E-19  1.61E-18
  5.10E-01  5.05E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.77E-22  2.11E-21  5.02E-19  1.55E-18
  5.00E-01  3.99E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.25E-22  1.53E-21  3.97E-19  1.50E-18
  4.90E-01  3.13E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.39E-22  1.09E-21  3.11E-19  1.44E-18
  4.88E-01  2.98E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.08E-22  1.02E-21  2.96E-19  1.43E-18
  4.80E-01  2.42E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.05E-22  7.72E-22  2.41E-19  1.39E-18
  4.76E-01  2.18E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.63E-22  6.68E-22  2.17E-19  1.37E-18
  4.70E-01  1.86E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.09E-22  5.35E-22  1.85E-19  1.32E-18
  4.65E-01  1.62E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.71E-22  4.43E-22  1.61E-19  1.26E-18
  4.60E-01  1.41E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.40E-22  3.65E-22  1.40E-19  1.20E-18
  4.55E-01  1.22E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.14E-22  2.99E-22  1.21E-19  1.14E-18
  4.50E-01  1.05E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  9.23E-23  2.45E-22  1.05E-19  1.09E-18
  4.44E-01  8.78E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.12E-23  1.91E-22  8.75E-20  1.02E-18
  4.35E-01  6.63E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.75E-23  1.29E-22  6.61E-20  9.35E-19
  4.17E-01  3.64E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.01E-23  5.65E-23  3.64E-20  7.81E-19
  4.00E-01  1.97E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.28E-24  2.41E-23  1.97E-20  6.57E-19
  3.85E-01  1.10E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.51E-24  1.06E-23  1.09E-20  5.64E-19
  3.66E-01  4.79E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.03E-24  3.31E-24  4.78E-21  4.62E-19
  3.57E-01  3.23E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.74E-25  1.89E-24  3.23E-21  4.24E-19
  3.33E-01  9.76E-22  0.00E+00  0.00E+00  0.00E+00  0.00E+00  9.48E-26  3.39E-25  9.75E-22  3.33E-19
  3.13E-01  3.19E-22  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.73E-26  6.58E-26  3.19E-22  2.71E-19
  3.00E-01  1.45E-22  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.13E-27  2.00E-26  1.45E-22  2.37E-19
  2.94E-01  9.88E-23  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.81E-27  1.11E-26  9.88E-23  2.22E-19
  2.78E-01  3.38E-23  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.01E-28  2.05E-27  3.38E-23  1.96E-19
  2.63E-01  1.16E-23  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.48E-29  3.46E-28  1.16E-23  1.81E-19
  2.50E-01  4.27E-24  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.57E-29  6.17E-29  4.27E-24  1.68E-19
  2.38E-01  1.48E-24  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.09E-30  1.03E-29  1.48E-24  1.57E-19
  2.27E-01  3.90E-25  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.23E-31  1.75E-30  3.90E-25  1.47E-19
  2.17E-01  6.78E-26  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.18E-31  3.22E-31  6.78E-26  1.48E-19
  2.08E-01  9.88E-27  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.80E-32  9.88E-27  1.54E-19
  2.00E-01  1.53E-27  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.53E-27  1.60E-19
  1.92E-01  2.13E-28  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.13E-28  1.65E-19
  1.85E-01  3.51E-29  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.51E-29  1.69E-19
  1.79E-01  7.01E-30  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.01E-30  1.66E-19
  1.72E-01  9.78E-31  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  9.78E-31  1.60E-19
  1.67E-01  2.24E-31  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.24E-31  1.55E-19
  1.61E-01  3.53E-32  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.53E-32  1.49E-19
  1.56E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.45E-19
  1.52E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.41E-19
  1.47E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.34E-19
  1.43E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.28E-19
  1.39E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.22E-19
  1.35E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.16E-19
  1.32E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.11E-19
  1.28E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.05E-19
  1.25E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.00E-19
  1.22E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  9.58E-20
  1.19E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  9.11E-20
  1.16E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.65E-20
  1.14E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.35E-20
  1.11E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.92E-20
  1.08E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.25E-20
  1.05E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.64E-20
  1.03E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.25E-20
  1.00E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.71E-20
  9.75E-02  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.15E-20
  9.50E-02  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.65E-20
  9.25E-02  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.19E-20
  9.08E-02  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.90E-20
