 #   Polarised Flux in [erg/s/Hz/ster] pro g IM
 # wel(mu)  emis      emip_t    emip_c    emip_Si   emip_d
  1.70E+01  6.37E-14  1.64E-29  1.64E-29  1.55E-36  4.85E-35
  1.67E+01  5.82E-14  6.94E-30  6.94E-30  4.55E-37  1.57E-35
  1.65E+01  5.45E-14  3.85E-30  3.85E-30  1.96E-37  7.23E-36
  1.64E+01  5.27E-14  2.85E-30  2.85E-30  1.27E-37  4.87E-36
  1.63E+01  5.09E-14  2.10E-30  2.10E-30  8.25E-38  3.27E-36
  1.61E+01  4.74E-14  1.12E-30  1.12E-30  3.40E-38  1.45E-36
  1.60E+01  4.57E-14  8.18E-31  8.18E-31  2.16E-38  9.59E-37
  1.59E+01  4.41E-14  5.93E-31  5.93E-31  1.37E-38  6.31E-37
  1.58E+01  4.26E-14  4.28E-31  4.28E-31  8.64E-39  4.14E-37
  1.57E+01  4.11E-14  3.07E-31  3.07E-31  5.42E-39  2.69E-37
  1.56E+01  3.96E-14  2.20E-31  2.20E-31  3.39E-39  1.75E-37
  1.54E+01  3.69E-14  1.11E-31  1.11E-31  1.32E-39  7.25E-38
  1.52E+01  3.45E-14  5.50E-32  5.50E-32  5.11E-40  2.93E-38
  1.51E+01  3.34E-14  3.84E-32  3.84E-32  3.18E-40  1.85E-38
  1.50E+01  3.23E-14  2.66E-32  2.66E-32  1.97E-40  1.16E-38
  1.45E+01  2.78E-14  4.00E-33  4.00E-33  0.00E+00  1.04E-39
  1.44E+01  2.72E-14  2.69E-33  2.69E-33  0.00E+00  6.32E-40
  1.43E+01  2.67E-14  1.80E-33  1.80E-33  0.00E+00  3.83E-40
  1.42E+01  2.61E-14  1.20E-33  1.20E-33  0.00E+00  2.30E-40
  1.40E+01  2.54E-14  5.26E-34  5.26E-34  0.00E+00  0.00E+00
  1.38E+01  2.54E-14  2.24E-34  2.24E-34  0.00E+00  0.00E+00
  1.37E+01  2.58E-14  1.45E-34  1.45E-34  0.00E+00  0.00E+00
  1.36E+01  2.62E-14  9.30E-35  9.30E-35  0.00E+00  0.00E+00
  1.35E+01  2.64E-14  5.94E-35  5.94E-35  0.00E+00  0.00E+00
  1.34E+01  2.68E-14  3.77E-35  3.77E-35  0.00E+00  0.00E+00
  1.33E+01  2.75E-14  2.37E-35  2.37E-35  0.00E+00  0.00E+00
  1.32E+01  2.87E-14  1.48E-35  1.48E-35  0.00E+00  0.00E+00
  1.31E+01  3.07E-14  9.17E-36  9.17E-36  0.00E+00  0.00E+00
  1.29E+01  3.96E-14  3.42E-36  3.42E-36  0.00E+00  0.00E+00
  1.28E+01  4.77E-14  2.07E-36  2.07E-36  0.00E+00  0.00E+00
  1.27E+01  5.30E-14  1.24E-36  1.24E-36  0.00E+00  0.00E+00
  1.26E+01  4.89E-14  7.40E-37  7.40E-37  0.00E+00  0.00E+00
  1.25E+01  4.22E-14  4.36E-37  4.36E-37  0.00E+00  0.00E+00
  1.22E+01  3.82E-14  8.63E-38  8.63E-38  0.00E+00  0.00E+00
  1.21E+01  4.06E-14  4.91E-38  4.91E-38  0.00E+00  0.00E+00
  1.20E+01  4.26E-14  2.77E-38  2.77E-38  0.00E+00  0.00E+00
  1.19E+01  4.27E-14  1.56E-38  1.56E-38  0.00E+00  0.00E+00
  1.18E+01  4.28E-14  8.62E-39  8.62E-39  0.00E+00  0.00E+00
  1.17E+01  4.50E-14  4.72E-39  4.72E-39  0.00E+00  0.00E+00
  1.16E+01  5.11E-14  2.56E-39  2.56E-39  0.00E+00  0.00E+00
  1.15E+01  6.55E-14  1.37E-39  1.37E-39  0.00E+00  0.00E+00
  1.14E+01  8.33E-14  7.25E-40  7.25E-40  0.00E+00  0.00E+00
  1.13E+01  9.61E-14  3.79E-40  3.79E-40  0.00E+00  0.00E+00
  1.12E+01  8.24E-14  1.96E-40  1.96E-40  0.00E+00  0.00E+00
  1.11E+01  6.16E-14  1.00E-40  1.00E-40  0.00E+00  0.00E+00
  1.09E+01  4.07E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.05E+01  3.21E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.00E+01  2.96E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.80E+00  2.90E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.60E+00  2.85E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
